計畫名稱,class,關鍵詞,NER
山崩潛勢評估與觀測技術防災應用(3/4),3,"['潛勢', '颱風', '坡地', '氣象局', '預警', '雨量', '活動性', '長期性']",[]
重要活動斷層構造特性調查2期(3/4),3,"['構造', '淺層', '敏感區', '潛勢', '地震']","['立法院', '1']"
斷層活動性觀測研究第四階段(1/4),3,"['活動性', '應變儀', '大地', '地震', '前兆', '潛勢', '潛勢圖', '境況', '構造', '水位', '地震儀']","['臺灣', '第三', '臺灣']"
臺灣北部火山活動觀測研究精進計畫(2/4),3,"['火山', '活動性', '訊息', '磁力', '岩體', '構造', '潛勢', '岩漿庫', '熱液']","['臺灣', '火山', '臺灣', '臺灣', '大屯火山', '台灣', '臺灣', '本年度', '大屯火山群']"
水旱災整備及應變科技之研究(3/4),3,"['水情', '災情', '旱災', '預警', '聯合國', '潛勢', '水旱災']","['聯合國IPCC', '104~107年', '國科會', '2011']"
發展小區域災害性天氣即時預報系統(3/4),3,"['災害性', '鄉鎮', '機率型', '海象']","['4年', '民國104年至107年']"
氣候變遷應用服務能力發展計畫(4/4),3,[],"['臺灣', '本4年期', '臺灣', '臺灣', '臺灣', '臺灣', '臺灣', '科技部', '臺灣', '臺灣', '臺灣', '臺灣']"
極端海象預報技術研究(2/4),3,"['海洋', '海象', '近岸', '預警', '測報', '浪機率', '機率', '颱風', '湧浪', '波浪', '集系統', '系集', '分歧度', '地震', '風暴潮']","['臺', '侵臺颱風', '臺灣', '臺灣', '106年']"
氣象領域氣象科技研究發展與維運計畫(3/6),3,"['颱風', '小時']","['5%', '24小時']"
氣象資訊之智慧應用服務計畫(I)(2/4),3,"['災害性', '系集', '海氣', '預警', '鄉鎮', '颱風', '機率型', '風雨']","['2週至4週', '第3至4週', '二', '臺', '災害性天氣監測與預報作業建置計畫']"
強地動觀測第5期計畫-強震即時警報於防災之應用(2/6),3,"['地震', '海嘯', '井下', '海陸', '觀測網', '強震', '警報', '潛勢']","['第5', '106年']"
全面性的地震與海嘯早期警報及地震潛勢分析系統建置計畫(6/6),3,"['活動性', '地震', '警報', '潛勢', '火山', '太平洋', '海嘯', '預警', '經建會', '國發會']","['經建會', '科技部', '新臺幣21億6,626萬元', '國家科學委員會', '1,000公里', '大屯火山', '未來20年', '大屯火山群', '6年內', '國科會', '106年', '臺灣', '太平洋', '臺灣', '200年', '經建會']"
建構臺灣海象及氣象災防環境服務系統(1/4),3,"['近岸', '海象', '暴潮', '鄉鎮', '波浪', '颱風', '系集', '水位', '海水', '太平洋', '海域', '海流', '海水位', '高度', '海面風', '海洋', '海嘯', '測報', '小時', '災害性']","['3小時', '1', '臺灣', '西北太平洋', '臺灣', '臺灣', '5公里', '3公里', '臺灣', '西北太平洋']"
地震及海嘯防災海纜觀測系統擴建計畫(3/3),3,"['海域', '電纜式', '地震儀', '海洋', '地震', '海嘯', '火山', '強震', '警報', '預警', '規模', '電纜', '海纜']","['100年', '97年', '第1', '8.5億元', '第2', '臺灣', '臺灣', '250公里', '3年', '第1', '70公里', '最後一年', '4億元', '96年度', '50公里', '105年', '1.43億元', '第1', '臺灣', '45公里', '臺灣', '104年', '106年']"
運輸環境災防技術與發展研究(1/4),3,"['橋梁', '預警', '速報', '構造物', '碼頭', '週期']","['美', '臺灣', '臺灣', '大甲溪', '臺灣', '日']"
綠色海洋與航安科技發展計畫(1/4),3,"['港灣海氣象', '海氣象', '商港', '航路', '航道', '海域', '海象', '預警', '近岸', '波浪', '海流', '淤沙', '颱風', '湧浪']","['1', '臺灣', '臺灣', '臺灣']"
臺北都會防災科學任務:確認大屯火山地下岩漿庫的位置與形貌(1/4),3,"['臺北', '火山', '大臺北', '地震', '震波', '構造', '岩漿庫', '機率', '觀測網']","['大屯火山群', '大屯火山群', '臺北', '大屯山', '臺北都會區', '大臺北民眾', '臺北都會區', '大屯火山', '臺北地區']"
全方位災害防救資訊蒐整與研判技術提升旗艦計畫(1/4),3,"['儀表板', '地方版', '情資網']",['中央']
智慧型雲端防災監測預警技術研發(3/4),3,"['預警', '地震']","['國研院', '台灣', '國研院', '台灣']"
地震工程之運作及發展計畫(1/4),3,"['潛勢', '大地', '地震', '建物', '橋梁', '核能', '工法', '鋼筋', '混凝土', '震災', '大臺北', '縣市政府']","['第二', '大臺北都會區']"
颱風洪水研究發展計畫(3/4),3,"['觀測網', '颱洪', '颱風', '預警', '雨量', '系集', '坡地', '時空', '水情', '小時', '洪災']","['3', '10日', '0-3小時', '亞太']"
海洋科技發展計畫(4/4),3,"['海洋', '項下', '南海', '太平洋', '海域', '研究船', '船期', '後勤', '科儀']","['美國', '本年度', '2,000噸', '2,000噸', '2,000噸', '南海', '日本海洋科研機構JAMSTEC(Japan Agency for Marine-Earth Science and Technology', '西北太平洋', '106年']"
國家災害防救科技中心發展計畫(1/1),3,"['公私', '部門']",['106年度']
坡地防災與保育科技發展綱要計畫(1/4)-大規模崩塌防災科技研發，強化坡地智慧監測與農村友善,3,"['坡地', '土砂', '潛勢', '活動性', '系集', '試區']","['台', '1.106年', '臺灣']"
提升及加值公共工程基礎技術資料庫研究計畫(1/1),3,"['工項', '儀表板', '價格', '特殊性']",['1']
建築技術多元創新與推廣應用精進計畫(4/4),3,"['週期', '工法', '規則', '潛勢']",[]
建築防火安全工程創新科技及應用研發計畫(4/4),3,"['可靠性', '永續性', '火災', '構造']",[]
鋼構建築複合性災害作用下耐火科技研發計畫(4/4),3,"['用詞', '週期', '火害', '震害', '地震', '火災', '性災害', '震災', '結構物', '管線', '後鋼', '鋼構屋', '鋼構', '樓層', '高度', '實尺', '構造']","['104年', '311地震', '日本', '105年至106年', '12m×12m', '4m', '107年', '19.35m×13.35m']"
都市與建築減災與調適科技精進及整合應用發展計畫(4/4),3,"['聯合國', '廣域性', '坡地']","['100~103年', '聯合國', '2015', '仙台']"
學校防減災及氣候變遷調適教育精進計畫(4/4),3,"['潛勢', '人才庫']",[]
地下工業管線安全智能整合應用科技計畫(2/4),3,"['管線', '機率']",[]
結合大規模崩塌地質防災資訊服務(2/5),3,"['規模', '颱風', '環境地', '崩塌地', '預警', '可靠性']","['莫拉克', '莫拉克颱風']"
地質科技研究發展(1/4),3,"['海域', '磁力', '地震儀', '構造', '岩體', '熱液', '潛勢', '雨量', '坡地', '活動性', '訊息', '潛勢圖', '地震', '境況', '火山']","['臺灣', '臺灣', '臺灣', '臺灣', '臺灣', '臺灣', '東北', '第四']"
水旱災整備及應變科技之研究(4/4),3,"['水情', '災情', '旱災', '預警', '聯合國', '潛勢', '水旱災']","['2011', '聯合國IPCC', '104~107年', '國科會']"
強地動觀測第5期計畫(3/6)-強震即時警報於防災之應用,3,"['地震', '速報', '強震', '警報', '前兆', '海纜', '海陸', '預警']","['第5', '107年']"
氣象資訊之智慧應用服務計畫(I)(3/4),3,"['預警', '系集', '海氣', '鄉鎮', '颱風', '機率型', '風雨']","['105-112年', '8年', '臺', '4年', '2週至4週', '第3至4週']"
建構臺灣海象及氣象災防環境服務系統(2/4),3,"['近岸', '海象', '耦合', '暴潮', '颱風', '波浪', '太平洋', '海水', '海嘯', '海流', '海洋', '海域', '小時', '災害性', '鄉鎮']","['內政部', '西北太平洋', '臺灣', '3小時', '0-1小時', '臺灣', '西北太平洋', '臺灣', '西北太平洋', '第1']"
氣象領域維運與技術發展計畫(4/6),3,"['海象', '測報', '小時', '災害性', '波浪', '近岸', '機率', '預警', '暴潮']","['氣象科技研究中心', '氣象資訊中心', '24小時', '第三', '第三']"
海洋及交通運輸防災技術研究(1/4),3,"['海象', '海洋', '商港', '航路', '航道', '海域', '海氣象', '颱風', '波浪', '預警', '橋梁', '橋墩', '工法', '構造物', '地震', '速報']","['臺東', '大甲溪橋', '臺北港', '臺灣', '臺灣']"
台北都會防災科學任務：確認大屯火山地下岩漿庫的位置與形貌(2/4),3,"['臺北', '火山', '大臺北', '地震', '震波', '構造', '岩漿庫', '機率', '觀測網']","['大屯火山群', '大屯火山群', '臺北', '大屯山', '臺北都會區', '大臺北民眾', '臺北都會區', '大屯火山', '臺北地區']"
海研一二三號汰舊換新計畫(2/3),3,"['研究船', '海域', '海洋', '近岸', '溶解碳', '顆粒碳', '海嘯', '地震', '構造']","['500噸', '10年', '台灣', '1000噸', '台灣']"
自然科學研究發展(1/1),3,"['海洋', '南海', '海域']","['台菲', '行政院', '南海', '2016', '兩岸']"
全方位災害防救資訊蒐整與研判技術提升旗艦計畫(2/4),3,"['預警', '防救災']",[]
智慧災防新南向(1/4),3,"['海洋', '地震', '預警', '南海', '研究站', '海氣', '通量', '構造', '海水', '海嘯', '海域', '時空', '太平島']","['東南亞', '南海', '太平島', '南海', '南海', '南海', '太平島', '南海', '南海', '南海', '南海', '南海']"
建構民生公共物聯網(2/4),3,"['地震', '空品', '氣象局', '國震', '消防署']","['科技部國研院國震中心', '台灣', '科技部災防中心', '經濟部水利署', '中央', '環保署', '內政部消防署', '交通部氣象局地震中心', '科技部']"
颱風洪水研究發展計畫(4/4),3,"['觀測網', '颱洪', '颱風', '預警', '時空', '雨量', '坡地', '淺層', '水位']","['台灣', '亞太', '1', '台灣', '台灣', '亞太經濟合作颱風']"
地震工程之運作及發展計畫(1/4),3,"['潛勢', '大地', '地震', '建物', '橋梁', '核能', '工法', '鋼筋', '混凝土', '震災', '境況', '災情', '縣市政府']",[]
智慧型雲端防災監測預警技術研發(4/4),3,"['預警', '地震']","['國研院', '台灣', '國研院', '台灣']"
海洋科技發展計畫(1/4),3,"['海洋', '地震', '海嘯', '部門', '項下', '研究船', '南海', '太平洋', '海域', '資訊庫']","['臺灣', '台灣', '西北太平洋', '臺灣', '台灣海洋科技研究中心', 'Taiwan Ocean Research Institute', '南海', ' TORI', '97年', '2,000噸']"
國家災害防救科技中心發展計畫(1/1),3,"['項下', '地震', '韌性', '公私', '部門']",['107年度']
建築工程技術發展與整合應用計畫(1/4),3,['工法'],[]
建築與城鄉安全防災韌性科技發展計畫(1/4),3,"['地震', '韌性', '坡地', '預警']","['十年', '2', '衛生福利部']"
前瞻建築防火避難及結構防火科技研發整合應用計畫(1/4),3,"['可靠性', '永續性', '性災害', '作用', '工法', '火災', '構造']",[]
建構韌性防災校園與防災科技資源應用計畫(1/4),3,"['縣市政府', '國民教育', '韌性']",[]
地下工業管線安全智能整合應用科技計畫(3/4),3,"['管線', '機率']",[]
地質科技研究發展(2/4),3,"['海域', '磁力', '地震儀', '構造', '岩體', '熱液', '活動性', '潛勢', '雨量', '訊息', '潛勢圖', '地震', '境況', '火山']","['第四', '東北', '臺灣', '臺灣', '台', '臺灣', '臺灣', '臺灣']"
結合大規模崩塌地質防災資訊服務(3/5),3,"['颱風', '規模', '崩塌地', '地震儀', '活動性']","['莫拉克', '莫拉克颱風', '莫拉克']"
韌性防災與氣候變遷水環境風險評估研究(1/4),3,"['旱災', '韌性', '潛勢', '預警', '部門', '具容', '恢復力']","['98年', '4年', '104年', '臺灣']"
強地動觀測第5期計畫(4/6)-強震即時警報於防災之應用,3,"['地震', '速報', '強震', '警報', '前兆', '海陸', '預警']","['第5', '108年']"
氣象資訊之智慧應用服務計畫(I)(4/4),3,"['預警', '系集', '海氣', '機率型', '颱風', '風雨', '鄉鎮']","['第2週', '105-112年', '2週至月季', '4年', '8年']"
氣象領域維運與技術發展計畫(5/6),3,"['海象', '測報', '小時', '鄉鎮', '波浪', '近岸', '機率', '預警', '暴潮']","['氣象科技研究中心', '氣象資訊中心', '24小時', '第三', '第三']"
建構臺灣海象及氣象災防環境服務系統(3/4),3,"['近岸', '海象', '暴潮', '颱風', '系集', '太平洋', '海嘯', '海洋', '預警', '波浪', '預警性', '小時', '災害性', '鄉鎮']","['臺灣', '第2', '3小時', '西北太平洋', '0-1小時', '西北太平洋', '臺灣']"
氣象雷達災防預警技術提升計畫(1/6),3,"['波段', '時空', '系集', '預警']","['東南亞', '墾丁', '111年', '1公里', '花蓮', '花蓮', '113年', '臺灣', '110年', '30分鐘', '泰國', '菲律賓', '五分山']"
海洋及交通運輸防災技術研究(2/4),3,"['海洋', '商港', '預警', '海象', '近岸', '橋墩', '工法', '部門', '構造物', '水位', '高雄港', '網頁', '震災', '速報']","['臺東', '臺灣', '108年', '臺中港港灣', '臺灣', '高雄港港區', '臺灣']"
台北都會防災科學任務：確認大屯火山地下岩漿庫的位置與形貌(3/4),3,"['臺北', '火山', '大臺北', '地震', '震波', '構造', '岩漿庫', '機率', '觀測網']","['大屯火山群', '大屯火山群', '臺北', '大屯山', '臺北都會區', '大臺北民眾', '臺北都會區', '大屯火山', '臺北地區']"
海研一二三號汰舊換新計畫(3/3),3,"['研究船', '海域', '海洋', '近岸', '溶解碳', '顆粒碳', '海嘯', '地震', '構造']","['500噸', '10年', '台灣', '1000噸', '台灣']"
智慧災防新南向(2/4),3,"['海洋', '地震', '南海', '東沙島', '太平島', '研究站']","['南海地區', '東沙島', '太平島國際科學研究站', '南海', '南海', '南海', '太平島']"
全方位災害防救資訊蒐整與研判技術提升旗艦計畫(3/4),3,"['預警', '災情', '儀表板']",[]
建構民生公共物聯網計畫(3/4),3,"['地震', '預警', '海域', '海纜', '強震', '現地型', '主站', '速報']","['100km', '10至20秒', '1公里', '30km']"
海洋科技發展計畫(2/4),3,"['海洋', '部門', '研究船', '繫纜', '無繫纜']","['2000噸', '科技部', '台灣海洋科技研究中心', '台灣']"
地震工程之運作及發展計畫(2/4),3,"['地震', '建物', '樓層', '核能', '電廠', '橋梁', '工法', '鋼筋', '混凝土', '震災']","['台灣', '台灣']"
國家災害防救科技中心發展計畫(含併入「颱風洪水研究發展計畫(1/3)」) (1/1),3,"['項下', '震災', '訊息', '韌性', '公私', '部門', '颱風', '颱洪', '預警', '坡地']","['108年度', '台灣颱風洪水研究中心', '災防科技中心', '108年度', '108年度']"
海洋環境調查運用、海洋技術研發與海洋產業發展(1/1),3,"['總目標', '海洋', '技術面', '應用面', '海域']","['1年', '臺灣', '民國108年']"
建築與城鄉安全防災韌性科技發展計畫(2/4),3,"['地震', '韌性', '坡地', '預警']",[]
建築工程技術發展與整合應用計畫(2/4),3,['工法'],[]
前瞻建築防火避難及結構防火科技研發整合應用計畫(2/4),3,"['可靠性', '永續性', '性災害', '作用', '火災']",[]
建構韌性防災校園與防災科技資源應用計畫(2/4),3,"['縣市政府', '國民教育', '防災害', '韌性']",[]
結合大規模崩塌地質防災資訊服務(4/5),3,"['颱風', '規模', '崩塌地', '地震儀', '活動性', '可靠性']","['莫拉克', '莫拉克颱風', '莫拉克']"
地質科技研究發展(3/4),3,"['研究船', '海域', '火山', '活動性', '潛勢', '雨量', '構造', '潛勢圖', '地震', '境況']","['臺灣', '基隆嶼', '臺', '臺灣', '臺灣', '台', '第四']"
韌性防災與氣候變遷水環境風險評估研究(2/4),3,"['旱災', '韌性', '洪災', '時空', '機率', '預警', '水情', '具容', '恢復力', '波浪', '應用面']","['4年', '臺灣']"
建構臺灣海象及氣象災防環境服務系統(4/4),3,"['海象', '剖風儀', '海洋', '海域', '近岸', '太平洋', '小時', '災害性', '機率']","['4年', '臺灣', '1小時', '臺灣', '西北太平洋']"
氣象雷達災防預警技術提升計畫(2/6),3,"['預警', '總目標']",[]
強地動觀測第5期計畫(5/6)-強震即時警報於防災之應用,3,"['海陸', '地震', '觀測網', '速報', '測報', '強震', '預警', '警報', '訊息', '前兆', '磁力', '電離層', '近震']","['10秒', '109年', '10秒']"
氣象資訊之智慧應用服務計畫(II)-數位創新(1/4),3,"['預警', '颱風', '縫隙']",['臺灣']
氣象領域維運與技術發展計畫(6/6),3,"['海象', '測報', '小時', '鄉鎮', '波浪', '近岸', '機率', '預警', '暴潮']","['氣象資訊中心', '第三', '24小時', '第三', '氣象科技研究中心']"
海洋及交通運輸防災技術研究(3/4),3,"['海洋', '商港', '波浪', '海流', '港務', '預警', '海域', '颱風', '海象', '沿海', '橋墩', '構造物', '震災', '速報']","['臺灣', '臺', '港', '蘇澳港港灣', '臺灣', '臺北港港區', '臺灣', '歷年', '109年']"
智慧災防新南向(3/4),3,"['海洋', '地震', '南海', '東沙島', '太平島', '研究站']","['南海地區', '東沙島', '太平島國際科學研究站', '南海', '南海', '南海', '太平島']"
全方位災害防救資訊蒐整與研判技術提升旗艦計畫(4/4),3,"['縣市政府', '預警', '儀表板']",[]
建構民生公共物聯網(4/4),3,"['地震', '預警', '海域', '海纜', '強震', '現地型', '主站', '速報']","['100km', '10至20秒', '1公里', '30km']"
基礎科學研究計畫-國家災害防救科技中心發展計畫(1/1),3,"['颱風', '颱洪', '預警', '坡地', '項下', '洪災', '震災', '韌性', '公私', '部門', '事件簿']","['109年', '109年']"
臺灣及南海海域資料收集調查與資料庫精進(1/4),3,"['海域', '海氣象', '底形', '地貌', '海洋']",[]
擴大災害警報訊息傳遞民眾服務計畫(1/4),3,"['消防署', '訊息', '警報', '氣象局', '速報', '告警物']","['110年', '內政部', '國家災害防救科技中心', 'LBS', '行政院', 'CBS', '中央氣象局', '106年12月14日', '吳', '國家災害防救科技中心', '國家災害防救科技中心', '災防告警細胞廣播平臺經費暨維運協商會議', '行政院科技會報辦公室', '澤成', '近十年']"
建築與城鄉安全防災韌性科技發展計畫(3/4),3,"['地震', '韌性', '坡地', '預警']",[]
前瞻建築防火避難及結構防火科技研發整合應用計畫(3/4),3,"['可靠性', '永續性', '性災害', '作用', '火災']",[]
建築工程技術發展與整合應用計畫(3/4),3,['工法'],[]
建構韌性防災校園與防災科技資源應用計畫(3/4),3,"['韌性', '縣市政府', '國民教育', '防災害']",[]
地質科技研究發展(4/4),3,"['海域', '構造', '火山', '熱液', '作用', '活動性', '潛勢', '雨量', '地震', '境況']","['臺灣', '東北部', '臺灣', '台', '第五']"
結合大規模崩塌地質防災資訊服務(5/5),3,"['颱風', '規模', '崩塌地', '地震儀', '活動性', '可靠性']","['莫拉克', '莫拉克颱風', '莫拉克']"
尖端地層下陷防治技術之研發(1/4),3,"['時空', '水層', '出入流', '海水']","['濁水溪', '嘉義', '經濟部', '25年', '濁水溪', '雲林', '屏東', '雲林', '雲林縣', '84年', '彰化', '台灣']"
韌性防災調適與評估研究(3/4),3,"['颱風', '雨量', '旱災', '預警']","['臺灣', '桃竹', '109年', '臺灣', '50~60%']"
氣象領域維運與技術發展計畫(II)(1/6),3,"['氣象局', '海象', '測報', '預警', '波浪', '裂流', '海洋', '颱風']","['7天', '氣象資訊中心', '110年', '氣象科技研究中心', '中央氣象局', '交通部', '3至4週', '2公里', '第三']"
強地動觀測第5期計畫(6/6)-強震即時警報於防災之應用,3,"['地震', '預警', '警報', '強震', '前兆', '海嘯', '火山', '測報']","['第5', '110年']"
智慧海象環境災防服務 – 創新安全效能(1/6),3,"['海域', '海象', '耦合', '波浪', '預警', '時空', '潛勢', '海氣']","['臺灣', '106至114年', '行政院']"
氣象雷達災防預警技術提升計畫(3/6),3,"['觀測網', '預警', '總目標']","['墾丁', '花蓮', '108年至113年', '五分山']"
氣象資訊之智慧應用服務計畫（II）-數位創新(2/4),3,"['縫隙', '預警']","['109年起至112年止', '行政院', '第1080021167號', '108年8月13日', '4年']"
智慧災防新南向(4/4),3,"['總目標', '雙島', '南海', '海洋']","['南海', '南海地區', '科技部', '台灣', '南海', '南海']"
民生公共物聯網數據應用及產業開展計畫(1/5),3,"['地震', '感測物', '空品', '水質物', '預警', '強震', '警報', '速報', '災情']","['台灣', '臺灣', '第一']"
基礎科學研究計畫-國家災害防救科技中心發展計畫(1/1),3,['颱風'],['災防科技中心']
臺灣及南海海域資料收集調查與資料庫精進(2/4),3,"['海域', '南海', '海氣象', '底形', '地貌', '海洋']","['南海', '臺灣', '南海', '俾爾']"
產業先進設備人才培育計畫(4/4),4,"['師傅級', '工具機', '醫工']",['近年來']
運動科學介入競技實力提升計畫(4/4),4,"['軸面', '選手', '教練', '棒球', '縱向', '生理學', '生理']",[]
材料與化工產業科技發展綱要計畫(4/4),4,"['化工', '石墨烯', '紡織品', '纖維素']","['台灣', '台灣']"
人機協同智慧機器人系統技術開發綱要計畫(3/4),4,['眼力'],"['2公斤', '200g', '50Nm', '2kg', '1公斤', '1.5kg', 'ISO']"
機械產業發展推動計畫(1/4),4,['工具機'],"['台灣', '台灣', '台灣']"
推動工業合作計畫(1/4),4,"['簡介', '刊物', '談判', '協議書']","['1', '2', '經濟部', '國防部', '國防部']"
紡織產業發展計畫(2/4),4,['紡織品'],"['台灣', '5,800億元', '2015年', '2', '本年度', '2010年', '新台幣4,823億元', '本年度', '本年度', '行政院', '101年9月11日', '2015年']"
運輸工具產業發展推動計畫(3/4),4,"['汽機車', '高品級']","['兩岸', '台灣']"
國際標準研析暨國家標準調和(1/4),4,"['標準調和', '化工']",['經濟部']
深耕工業基礎技術專案計畫(2/4),4,['化工'],"['4年', '經濟部', '國科會', '國科會', '20%', '2,000萬元']"
安全衛生與健康職場研究(2/4),4,"['職業', '生理', '有害物', '骨骼', '保障']",[]
提升國家競技實力之運動醫學暨科學輔助計畫(1/4),4,"['短程', '軸面', '教練', '選手', '少年', '生理']","['仁川', '2014年', '2016年', '里約奧運']"
人機協同智慧機器人系統技術開發綱要計畫(4/4),4,"['生產線', '眼力', '實機']","['1.5kg', '4Hz', '90%', '1公斤', '60cm']"
材料與化工產業科技發展綱要計畫(1/4),4,"['紡織品', '調節型', '纖維素', '資材', '鞋品', '化工', '石墨烯', '導電膜']","['1', '台灣']"
關鍵製造業製程高值化拔尖計畫(1/4),4,"['實質', '汽機車']","['美', '美國', '21.3%', '27.5%', '25%', '美', '德國', '日', '歐', '12%', '2010年', '德國', '2002年']"
紡織產業發展計畫(3/4),4,['紡織品'],"['台灣', '2010年', '5,800億元', '2015年', '2', '本年度', '本年度', '新台幣4,823億元', '本年度', '行政院', '101年9月11日', '2015年']"
運輸工具產業發展推動計畫(4/4),4,"['汽機車', '高品級']","['台灣', '兩岸']"
機械產業發展推動計畫(2/4),4,['工具機'],"['台灣', '台灣']"
推動工業合作計畫(2/4),4,"['刊物', '談判', '協議書']","['1', '國防部', '國防部']"
國際標準研析暨國家標準調和(2/4),4,"['標準調和', '化工']",['經濟部']
深耕工業基礎技術專案計畫(3/4),4,['化工'],"['20%', '4年', '經濟部', '2,000萬元']"
工程科技發展中程綱要計畫書(1/1),4,"['開發型', '應用型', '工具機', '積層']",[]
國立科學工業園區實驗高級中學擴校校區充實教學設備計畫(1/1),4,"['教室', '女性', '球場', '使用區']",[]
安全衛生與健康職場研究(3/4),4,"['職業', '生理', '有害物', '骨骼', '保障']",[]
推動科技與工藝創意產業結合旗艦計畫(1/4),4,[],"['台灣', '臺灣', '臺灣', '台灣', '臺灣']"
提升國家競技實力之運動醫學暨科學輔助計畫(2/4),4,"['軸面', '教練', '選手', '少年', '生理']","['2016年', '里約奧運']"
關鍵製造業製程高值化拔尖計畫(2/4),4,['實質'],"['美', '美國', '21.3%', '27.5%', '25%', '美', '德國', '日', '歐', '12%', '2010年', '德國', '2002年']"
材料與化工產業科技發展綱要計畫(2/4),4,"['紡織品', '資材', '鞋品', '石墨烯', '導電膜']",[]
區域創新走廊產業科技發展綱要計畫(1/4),4,"['向度', '界鄰', '城鎮', '廊帶', '經濟體']",[]
工業基礎技術深耕計畫(1/4),4,[],[]
機械產業發展推動計畫(3/4),4,['工具機'],"['台灣', '台灣']"
汽、機及自行車產業發展推動計畫(1/4),4,['汽機車'],"['台灣', '兩岸']"
推動工業合作計畫(3/4),4,"['簡介', '刊物', '協議書']","['國防部', '經濟部']"
以生產力4.0推動智慧製造應用計畫(1/1),4,['工具機'],[]
紡織產業發展計畫(4/4),4,"['院長', '紡織品', '品級']","['10月13日', '臺灣', '行政院專案會議', '    經濟部', '103年7月1日', '經濟部']"
產業升級轉型行動計畫(1/4),4,[],"['技術處', '工業局', '華人', '台灣']"
國際標準研析暨國家標準調和(3/4),4,"['標準調和', '化工']",['經濟部']
智慧休閒與運動服務加值計畫(1/4),4,"['賽事', '體育署', '積點']","['教育部體育署', '教育部體育署', '教育部體育署']"
深耕工業基礎技術專案計畫(4/4),4,['化工'],"['20%', '經濟部', '4年', '2,000萬元']"
先進製造之前瞻科技與應用方案(1/1),4,['工具機'],"['美', '台灣', '韓國', '2009年至2012年', '東南亞', '25%', '2~3%', '歐', '27%', '中國', '越南', '日']"
安全衛生與健康職場研究(4/4),4,"['職業', '生理', '有害物', '骨骼', '保障']",[]
提升國家競技實力之運動醫學暨科學輔助計畫(3/4),4,"['選手', '教練']","['2017年', '臺北世界大學']"
中南部雷射與金屬產業高值應用暨系統技術發展綱要計畫(1/4),4,"['窘境', '過往']","['德國', '中國', '臺灣', '臺灣', '臺灣', '7成', '中南部', '臺灣', '臺灣']"
材料與化工產業科技發展綱要計畫(3/4),4,"['化工', '紡織品', '服裝', '資材', '石墨烯']","['260℃', '台灣']"
區域創新走廊產業科技發展綱要計畫(2/4),4,"['向度', '界鄰', '城鎮', '廊帶', '經濟體']",[]
工業基礎技術深耕計畫(2/4),4,[],[]
汽、機及自行車產業發展推動計畫(2/4),4,['汽機車'],"['兩岸', '台灣']"
推動工業合作計畫(4/4),4,"['軍購案', '協議書']","['國防部工業合作政策指導會', '經濟部']"
紡織產業發展計畫(1/4),4,['實質'],"['101年9月11日', '行政院', '103年10月13日', '行政院']"
金屬產業發展推動計畫(4/4),4,"['關鍵性', '角色']",['歐美']
產業升級轉型行動計畫(2/4),4,"['員工數', '營業額', '高成長', '鑄造業']","['106年度', '工業局', '行政院', '工業局吳明機']"
智慧機械產業領航計畫(1/3),4,"['生產線', '角色', '工具機', '汽機車']",['臺灣']
國際標準研析暨國家標準調和(4/4),4,['標準調和'],[]
航太級大型化積層製造技術開發與驗證(1/4),4,"['積層', '航太級', '雷射源', '發動機']","['中科院', '長榮航宇', '1200x400x600 mm3', '中科院', '漢翔']"
深耕工業基礎技術專案計畫第二期(1/4),4,['化工'],"['4年', '經濟部', '2,000萬元', '科技部', '科技部', '第二', '20%', '4年']"
推動智慧製造關鍵技術之前瞻科技發展與應用計畫(1/4),4,['工具機'],"['東南亞', '2012年', '韓國', '25%', '2~3%', '歐', '日', '中國', '2009年', '27%', '台灣', '美']"
智慧積層製造(3D列印)跨領域研究計畫(1/4),4,"['積層', '里程碑', '幫助']",[]
職場安全衛生與勞動保障研究(1/4),4,"['職業', '有害物', '骨骼', '保障']",[]
提升國家競技實力之運動醫學暨科學輔助計畫(4/4),4,"['選手', '教練']","['臺北世界大學', '2017年']"
工業基礎技術深耕計畫(3/4),4,[],['亞洲']
機械運輸產業技術升級與特色產業創新加值科技發展綱要計畫(1/4),4,"['雷射源', '船艦']","['1', '台灣', '苗栗', '政府']"
中南部雷射與金屬產業高值應用暨系統技術發展綱要計畫(2/4),4,"['窘境', '過往']","['中國', '臺灣', '7成', '臺灣', '德國', '臺灣', '臺灣', '中南部', '臺灣']"
材料與化工產業科技發展綱要計畫(4/4),4,"['化工', '紡織品', '服裝', '生理', '資材', '空孔']",['台灣']
金屬機電高值推升計畫(1/4),4,"['汽機車', '品級']","['政府', '台灣', '台灣']"
推動工業合作計畫(1/4),4,['協議書'],['國防部']
智慧機械產業領航計畫(2/3),4,"['工具機', '汽機車']",[]
智慧機械創新產業推動計畫(2/4),4,['智機'],[]
民生產業轉型輔導計畫(1/4),4,"['生產鏈', '銷售端']",[]
航太級大型化積層製造技術開發與驗證(2/4),4,"['積層', '航太級', '雷射源', '發動機']","['漢翔', '中科院', '中科院', '1200x400x400 mm3']"
智慧積層製造(3D列印)跨領域研究計畫(2/4),4,"['積層', '里程碑', '幫助']",[]
智慧製造關鍵技術之創新科技研發與應用計畫(2/4),4,[],['我國']
強化區域合作─推動中南部智慧機械及航太產業升級計畫(2/4),4,"['智機', '南科']","['台', '台', '南科', '行政院', '美', '日', '台歐']"
